id,x,y,frame,gfp_intensity,mcy_intensity,bbox,area,predicted_class,trackId,lineageId,parentTrackId
102,863,749,8,37632.3859576236,15459.585375986706,"(800, 697, 927, 800)",9628,S,8,8,-1
114,864,751,9,37570.59670530811,15803.959528167581,"(798, 697, 928, 804)",9834,S,8,8,-1
127,869,754,10,38029.42933552767,16144.831824727422,"(803, 698, 928, 805)",9722,S,8,8,-1
139,869,754,11,38249.413920185325,16460.802990418026,"(801, 703, 929, 804)",9497,S,8,8,-1
151,870,752,12,38578.97489582274,17045.77904258563,"(804, 700, 933, 803)",9839,S,8,8,-1
163,874,750,13,38644.107090176025,18019.07709705969,"(808, 697, 937, 801)",10169,S,8,8,-1
176,874,753,14,41206.94052973513,19939.783608195903,"(813, 699, 939, 804)",10005,S,8,8,-1
188,878,750,15,46743.4981908208,21966.01352123405,"(816, 695, 942, 804)",10502,S,8,8,-1
200,879,750,16,50833.38639666699,24040.307334560606,"(819, 690, 942, 805)",10321,S,8,8,-1
212,880,751,17,52549.16636400323,26335.88085149314,"(820, 687, 943, 803)",9912,S,8,8,-1
224,877,751,18,52324.69853454292,27742.541122520186,"(816, 697, 941, 802)",10031,S,8,8,-1
235,877,750,19,51666.40102356122,28266.980397837004,"(815, 697, 943, 802)",10356,G2,8,8,-1
10,875,885,0,54770.84359386153,30018.95083868665,"(812, 832, 953, 946)",11208,G2,9,9,-1
22,877,884,1,54533.306292713234,30577.489748824,"(813, 831, 954, 945)",11267,G2,9,9,-1
34,874,886,2,54509.0536817941,30608.127582553418,"(811, 834, 953, 947)",11326,G2,9,9,-1
46,874,888,3,54560.65205959685,31117.57887817704,"(811, 835, 953, 951)",11410,G2,9,9,-1
57,874,886,4,54546.16357726434,31474.58288676096,"(810, 833, 952, 948)",11383,G2,9,9,-1
68,872,886,5,54413.78765152176,31960.575390250284,"(808, 833, 953, 946)",11467,G2,9,9,-1
79,872,886,6,54657.095712429626,31909.41619748809,"(808, 832, 953, 947)",11545,G2,9,9,-1
91,871,888,7,54719.65514253531,32555.112555237847,"(807, 835, 951, 949)",11541,G2,9,9,-1
103,872,892,8,54501.36764196676,33053.627943213294,"(808, 837, 953, 953)",11552,G2,9,9,-1
115,869,896,9,54634.12543828892,33518.37622720897,"(805, 843, 947, 956)",11408,G2,9,9,-1
128,870,895,10,54636.28876817943,34433.7579288593,"(806, 841, 948, 956)",11414,G2,9,9,-1
140,872,895,11,54888.91528080105,34684.790509360035,"(807, 841, 953, 954)",11485,G2,9,9,-1
152,875,896,12,54975.337484758755,36073.44861522383,"(811, 842, 955, 958)",11482,G2,9,9,-1
164,874,896,13,55130.19157288668,37843.460437930735,"(811, 841, 956, 957)",11463,G2,9,9,-1
175,876,896,14,55170.488588850174,41283.31141114983,"(812, 842, 959, 957)",11480,G2,9,9,-1
187,875,897,15,55840.181912323096,44888.67863306869,"(810, 841, 958, 957)",11588,G2,9,9,-1
199,875,900,16,56113.183493249555,47532.27069712151,"(810, 845, 959, 964)",11777,G2,9,9,-1
